,工作标题,薪资,城市,地区,年限,学历,职限,职位详情,具体地点,公司名字,公司情况,职位标签,公司标签
161,资深数据分析师/数据分析经理,15k-30k,广州,番禺区,5-10年,本科,全职,"岗位职责：1、利用数据分析能力，推动用户体验提升，有效推动用户满意度。2、统筹客服侧数据指标监控和分析，持续优化客服侧数据指标搭建，完善指标体系搭建。3、完善数据分析体系，推动团队数据分析能力提升。4、提升数据模型和算法能力，推动自然语言结构化进程。任职要求：
1、本科以上学历，5年以上数据分析工作经验，电商行业优先。2、精通SQL数据库语言，熟悉Python/R等工具使用、熟悉办公软件使用。",广州-荔湾区-花海街20号,BIGO该企业已上传营业执照并通过资质验证审核,社交媒体 / 上市公司 / 2000人以上,"['社交平台', 'MCN｜直播平台', 'SQL']",“国际化视野；领先直播app；优秀团队伙伴”
162,网络营销部 数据分析师-,20k-40k,广州,越秀区,3-5年,本科,全职,"工作职责 
1、对数据业务场景敏感,能够横向协同,跨界整合资源,有效结合业务形成完整数据解决方案; 

2、围绕流量、转化等目标,制定营销策略及推广计划,在数据上对各项活动进展及方向提供决策和优化依据 

3、通过业务数据分析,及时监测业务健康度,并针对异常点开展专项深度分析,发现问题并提供合理业务建议 

4、协助推广端定制客户画像标签,并落地到相关数据营销系统,助力用户精准营销。 

任职要求 
 1、211,985***本科及以上学历,3年以上相关工作经验; 

 2、具有裂变营销模式成功经验,独立完成项目建模,分析及优化实验等; 

 3、具有 APP 、微信、抖音等平台流量经营及用户 负责裂变营销经验； 

 4、有互联网金融产品或信用卡网络营销工作经验优先； 

 5、掌握 SQL ,以及 Python , SAS , R 语言(至少一种)的数据分析处理技能优先。",广州-天河区-天河区-珠江新城-珠江西路8号高德置地广场夏号,屈臣氏中国该企业已上传营业执照并通过资质验证审核,新零售 / 不需要融资 / 2000人以上,"['新零售', '批发｜零售', 'Python', 'SQL', 'VBA']",“发展前景，团队实力”
163,数据分析师 18w-30w 广州 本科 1-3年,15k-25k,广州,番禺区,3-5年,本科,全职,"有车以后 数据分析师 18w-30w 广州 本科 1-3年 
工作职责 
﻿1.基于数据分析，拆解现有产品业务，发现业务洼地，能够提供清晰实用的分析和业务优化方法，数据驱动业务快速迭代，辅助业务团队科学决策，协助达成商业目标； 

2.构建业务分析体系，监控运营状况；运用数据分析，与大数据算法、数仓同事深度合作，解决业务的核心痛点和难点； 

3.从指标体系监控，能够帮助业务看清业务发展的趋势，及时发现存在的问题和机会，进行分析和给出预期诊断，提示可能性风险及策略方法。深入理解产品和业务，持续监控运营和产品改进效果，为业务部门提供业务优化建议。 

任职要求 
﻿1.3年以上相关工作经验（数据分析、决策支持、数据挖掘），有产品、运营、用户相关业务分析经验，有汽车销售行业经验值优先； 

2.具备良好的沟通能力、理解能力、数据敏感度、团队合作精神、抗压能力，较强的学习能力。 

工作地址 
广东-广州-海珠区-中大-新港西路",广州-海珠区-广东-广州-海珠区-中大-新港西路,YY该企业已上传营业执照并通过资质验证审核,社交媒体 / 上市公司 / 500-2000人,"['MCN｜直播平台', 'Python', 'SQL']",“大平台 福利好”
164,数据分析经理,20k-35k,广州,番禺区,3-5年,本科,全职,【岗位职责】1、通过深度挖掘客户数据，发现并分析问题，并结合多元数据价值提出数据化解决方案；2、主导数据分析工作，通过数据构建行业关键决策系统，提供业务决策建议；3、了解平台运营模式，跟踪运营数据，发现业绩增长点和增长时机，为管理层及业务方提供战略决策建议；4、针对异常情况进行及时预警，并形成预警体系；5、负责业务数据的统计分析、报表编制及呈报，包括日/周/月/季/(半)年报等，实现日常数据可视化；【岗位要求】1、3年以上数据分析、数据模型设计等相关工作经验；,广州-荔湾区-广州市荔湾区桥中中路,BIGO该企业已上传营业执照并通过资质验证审核,社交媒体 / 上市公司 / 2000人以上,"['MCN｜直播平台', 'Python', 'R语言', 'MySQL']",“年终奖金；带薪年假；六险一金”
165,电话营销部 数据分析师,20k-30k,广州,番禺区,5-10年,本科,全职,"工作职责 
1.建设基于电销场景的业务全链路实时监控看板、可视化数据驾驶舱以及自动预警机制 

（1）BI数据信息清洗，及时准确提供各类销售报表，并对于输出信息不断优化 

（2）管理基础信息及共享平台的日常运维，发现异常及时反馈并沟通解决；进行月、季、年的分析总结，并反馈给内部各协助部门 

（3）跟进业务现状定期制定相应应对计划 

（4）销售大数据分析，从数据背后发掘业务待优化和提升点 

2、数据运维监控 

（1）根据具体业务需要，针对业务运营数据进行分析和深度挖掘，提供有价值的专项分析报告 

（2）针对业务的属性和模式，有效监控关键指标，及时发现数据问题 

3、数据运维优化，对店铺运营提出创新的分析观点 

（1）根据业务部门数据分析、统计工作，搭建电商数据分析指标体系及报表体系，及时优化 

（2）理解业务方向和战略，建立分析模型，为业务运营提供决策支持 

4、完成上级安排的需求工作 

任职要求 
1. *****本科及以上学历，数学、统计、计算机、金融等相关专业； 

2. 有5年以上数据分析或BI工作经验，信用卡行业经验优先； 

3. 至少精通SQL/power bi/Python/SAS其中之一，并能运用上述工具独立完成数据分析工作； 

4. 精通常用的数据分析方法，能快速的构建问题框架和分析框架； 

5. 良好的沟通能力和团队协助能力",广州-天河区-天河区-珠江新城-珠江西路8号高德置地广场夏号,BIGO该企业已上传营业执照并通过资质验证审核,社交媒体 / 上市公司 / 2000人以上,"['MCN｜直播平台', 'Python', 'SQL']",“出海直播领先app；发展空间大；年终奖+年中奖”
166,数据分析总监,55k-80k,广州,东风东,5-10年,本科,全职,"【岗位职责】 
1、负责构建并优化数据分析体系，带领团队进行商品分析和用户数据洞察，提供研究和数据分析，为业务发展提供创新的咨询服务； 
2、负责对业务数据进行监测、统计、整合、分析挖掘，挖掘用户行为特征，为营销、运营及决策提供业务分析及数据支持； 
3、基于具体业务专题，构建商业分析框架，产出体系化商业分析方法和决策建议，并推动落地； 
4、负责梳理业务增长及市场变化趋势，识别机会和风险，给出可靠商业分析和预测模型，指导业务发展，支持有效的决策； 
5、深度分析挖掘数据价值，与业务、产品、研发等团队紧密配合，推动数据分析结果应用到实际业务，驱动业务不断优化迭代，提升业务效率； 
6、负责数据分析部门团队管理工作。 
【岗位要求】 
1、数学、统计学、计算机等专业本科以上学历，8年以上数据分析经验，有团队管理经验，有互联网电商经验优先； 
2、对数据变化敏感，具备业务意识和业务深度理解能力、较强的逻辑思维和抽象能力、较好的商业思维和优秀的分析能力； 
3、重视团队合作，跨业务领域的沟通能力，具有良好的项目推动、沟通协调能力，思维敏捷，具有挑战精神； 
4、精通主流BI分析工具、常用数据分析方法、SQL等工具 
",广州-荔湾区-区陆居路 2 号 7 楼（立白中心大楼）,CLPS该企业已上传营业执照并通过资质验证审核,软件服务｜咨询 / 上市公司 / 500-2000人,"['软件服务｜咨询', 'SQL Server', 'MySQL', 'ORACLE']",“周末双休 弹性时间上班 六险一金”
167,数据分析专家（电销业务）,15k-30k,广州,珠江新城,3-5年,本科,全职,"职责描述：1、通过数据对业务相关问题进行量化分析和数据建模，并提出优化策略；2、负责相关业务报表自动化的开发及维护，构建并完善目标及变量体系；3、监测业务的日常数据，关注数据波动并能够及时分析和解读数据异动；4、负责电销关键指标及费用的跟踪管理，专项业务的分析与预测，KPI指标的制定与分解。任职要求：
1、本科或以上学历，5年以上数据分析或相关职能岗位经验；2、具有银行零售信贷、信用卡，或持牌消费金融公司、知名互联网金融企业从事数据分析、模型搭建或机器学习工作经验优先；",广州-天河区-南岳大厦,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['金融业', 'SQL', 'Python']",“信用卡中心总部”
168,数据分析Leader,35k-70k,广州,珠江新城,不限,本科,全职,"职位职责： 
1、了解电商业务体系，为日常运营活动提供数据支持，能够基于数据分析，给业务发展提供策略和建议； 
2、负责对网站各类活动进行复盘数据分析，定期提供运营分析报告，给到各部门分析结论和运营建议； 
3、负责对网站用户、交易、商品、履约等维度数据监控跟踪与分析，建立数据汇报模板； 
4、负责对用户进行漏斗分析，完成用户分层，利用数据提出运营及营销建议。 
职位要求： 
1、5年以上数据分析经验，丰富的电商行业数据分析、数据产品经验； 
2、具备良好的分析总结和数据报告呈现能力，能够系统性的思考和分析问题； 
3、熟悉电商相关的数据产品，了解电商相关各维度指标及提升方法； 
4、善于沟通，工作细心，执行能力强。",广州-天河区-珠江新城珠江东路6号周大福金融中心15层,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['金融业', '科技金融', 'Python', 'SQL Server', 'MySQL']",“广发银行信用卡中心”
169,数据分析师（商业方向）,10k-20k,广州,珠江新城,不限,本科,全职,"【职位职责】：▪ 负责对接用户需求，管理用户期望，将需求进行有效拆解；▪ 将商业语言转化成数据语言，能够自主进行数据探索和挖掘；▪ 根据用户需求交付 PPT、报告、Dashboard 等多种形式的数据洞察；▪ 管理多个数据项目，保证项目正常运行；▪ 能操纵多个数据源，整合数据融合后的数据方案应用到不同客户。【职位要求】： 
▪ 自我驱动力强，对反常识的数据具有好奇心和探索欲；",广州-天河区-珠江新城雅居乐中心寰图31楼F18房,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['金融业', 'Python']",“信用卡中心正编”
170,数据分析师,15k-25k,广州,新港,1-3年,本科,全职,"1.目前需求：强调数据洞察力、敏锐性 
2.项目类别：出海项目（直播项目） 
3.团队背景：腾讯网易班底 

职责： 
--负责和管理埋点整个流程的工作，包含不仅限于数据埋点方案、协助开发进行埋点、跟踪埋点效果； 
--负责公司数据产品的规划、设计与优化； 
--建立和完善的数据采集、分析、监控体系，提供有驱动力的数据分析与洞察，并推动相关方案落地； 
--用产品思维分析解读数据，对产品、运营进行数据监测，从数据中发现需求，对产品提出指导与优化的建议； 
要求： 
--理工科背景，敏锐的数据洞察力。 
--对互联网具有极大热情，至少是重度互联网用户。 
--思维能力出色，能从核心基本点出发思考问题。",广州-天河区-员村百合路21号N次方2楼,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['IT技术服务｜咨询', 'JAVA', 'STL']",“知名企业”
171,数据分析师（全域营销测量）,10k-15k,广州,珠江新城,1-3年,本科,全职,"工作职责： 
1. 有多维数据整合的思维，有效整合广告监测、社媒舆情等多维数据为客户提炼全维度、全链路的商业洞察并产出相应营销策略； 
2. 发现监测数据中的问题和优化点，并提出合理性解决方案及建议； 
3. 基于客户的定制化需求，灵活利用多维数据，通过创新型的洞察解决方案，为客户提供品牌健康度等方面的评估和优化建议、为品牌提供媒介策略咨询等更有价值的商业洞察； 
4. 独立撰写整体项目的季度、年度等大型报告，并协助团队负责人向客户进行报告提案 
5. 深入理解公司各个产品线的功能和工作原理，解答客户对各个产品的咨询。 
任职要求： 
1. 本科及以上学历，广告类、传播类、市场营销、心理学、 统计等相关专业优先； 
2. 1-3年左右广告公司媒介策划，数据分析，消费者研究或市场调研等相关工作经验； 
3. 工作热情，有服务精神，优秀的沟通能力，良好的演讲能力； 
4. 具有一定的团队领导力，组织力和协调能力； 
5. 优秀的英文听说读写能力，能熟练使用 PPT 和 EXCEL； 
6.具有团队协作精神和客户服务意识，工作协调能力强，能在压力下保证工作效率；",广州-海珠区-保利中悦广场23楼明略科技,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['金融业', '科技金融', 'Python', 'SQL Server', 'MySQL']",“广发银行信用卡中心”
172,,,,,,,,,,,,,
173,网络营销部 数据分析师-,20k-40k,广州,珠江新城,3-5年,本科,全职,"工作职责 
1、对数据业务场景敏感,能够横向协同,跨界整合资源,有效结合业务形成完整数据解决方案; 

2、围绕流量、转化等目标,制定营销策略及推广计划,在数据上对各项活动进展及方向提供决策和优化依据 

3、通过业务数据分析,及时监测业务健康度,并针对异常点开展专项深度分析,发现问题并提供合理业务建议 

4、协助推广端定制客户画像标签,并落地到相关数据营销系统,助力用户精准营销。 

任职要求 
 1、211,985***本科及以上学历,3年以上相关工作经验; 

 2、具有裂变营销模式成功经验,独立完成项目建模,分析及优化实验等; 

 3、具有 APP 、微信、抖音等平台流量经营及用户 负责裂变营销经验； 

 4、有互联网金融产品或信用卡网络营销工作经验优先； 

 5、掌握 SQL ,以及 Python , SAS , R 语言(至少一种)的数据分析处理技能优先。",广州-天河区-天河区-珠江新城-珠江西路8号高德置地广场夏号,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['金融业', 'SQL', 'Python']",“总行正编”
174,数据分析师 18w-30w 广州 本科 1-3年,15k-25k,广州,新港,3-5年,本科,全职,"有车以后 数据分析师 18w-30w 广州 本科 1-3年 
工作职责 
﻿1.基于数据分析，拆解现有产品业务，发现业务洼地，能够提供清晰实用的分析和业务优化方法，数据驱动业务快速迭代，辅助业务团队科学决策，协助达成商业目标； 

2.构建业务分析体系，监控运营状况；运用数据分析，与大数据算法、数仓同事深度合作，解决业务的核心痛点和难点； 

3.从指标体系监控，能够帮助业务看清业务发展的趋势，及时发现存在的问题和机会，进行分析和给出预期诊断，提示可能性风险及策略方法。深入理解产品和业务，持续监控运营和产品改进效果，为业务部门提供业务优化建议。 

任职要求 
﻿1.3年以上相关工作经验（数据分析、决策支持、数据挖掘），有产品、运营、用户相关业务分析经验，有汽车销售行业经验值优先； 

2.具备良好的沟通能力、理解能力、数据敏感度、团队合作精神、抗压能力，较强的学习能力。 

工作地址 
广东-广州-海珠区-中大-新港西路",广州-海珠区-广东-广州-海珠区-中大-新港西路,新仕佳人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,专业服务｜咨询 / 不需要融资 / 50-150人","['工具类产品', 'JAVA']",“数据分析师 18w-30w 广州 本科 1-3年”
175,数据分析经理,20k-35k,广州,黄岐,3-5年,本科,全职,【岗位职责】1、通过深度挖掘客户数据，发现并分析问题，并结合多元数据价值提出数据化解决方案；2、主导数据分析工作，通过数据构建行业关键决策系统，提供业务决策建议；3、了解平台运营模式，跟踪运营数据，发现业绩增长点和增长时机，为管理层及业务方提供战略决策建议；4、针对异常情况进行及时预警，并形成预警体系；5、负责业务数据的统计分析、报表编制及呈报，包括日/周/月/季/(半)年报等，实现日常数据可视化；【岗位要求】1、3年以上数据分析、数据模型设计等相关工作经验；,广州-荔湾区-广州市荔湾区桥中中路,今朝人力资源该企业已上传营业执照并通过资质验证审核,"工具类产品,IT技术服务｜咨询,专业服务｜咨询 / 未融资 / 50-150人","['电商平台', 'IT技术服务｜咨询']",“五险一金，生活补助，股票期权，带薪年假”
